Semestre,Horario,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
1,08:00 - 09:00,Producao Textual, ,Logica para Computacao,Introducao a Engenharia de Computacao, , 
 ,09:00 - 10:00,Producao Textual, ,Logica para Computacao,Introducao a Engenharia de Computacao, , 
 ,10:00 - 11:00,Producao Textual, ,Logica para Computacao, , , 
 ,11:00 - 12:00,Producao Textual, ,Logica para Computacao, , , 
 ,13:00 - 14:00, ,Epistemologia,Arquitetura de Computadores 1, ,Algebra Linear e Geometria Analitica, 
 ,14:00 - 15:00, ,Epistemologia,Arquitetura de Computadores 1, ,Algebra Linear e Geometria Analitica, 
 ,15:00 - 16:00, , ,Arquitetura de Computadores 1, ,Algebra Linear e Geometria Analitica, 
 ,16:00 - 17:00, , ,Arquitetura de Computadores 1, ,Algebra Linear e Geometria Analitica, 
 ,18:00 - 19:00, , , , , , 
 ,19:00 - 20:00, , , , , , 
 ,20:00 - 21:00, , , , , , 
 ,21:00 - 22:00, , , , , , 
2,08:00 - 09:00, , , , , , 
 ,09:00 - 10:00, , , , , , 
 ,10:00 - 11:00, , , , , , 
 ,11:00 - 12:00, , , , , , 
 ,13:00 - 14:00, ,Calculo 2, ,Arquitetura de Computadores 2, , 
 ,14:00 - 15:00, ,Calculo 2, ,Arquitetura de Computadores 2, , 
 ,15:00 - 16:00, ,Calculo 2, ,Arquitetura de Computadores 2, , 
 ,16:00 - 17:00, ,Calculo 2, ,Arquitetura de Computadores 2, , 
 ,18:00 - 19:00, , , , , , 
 ,19:00 - 20:00, , , , , , 
 ,20:00 - 21:00, , , , , , 
 ,21:00 - 22:00, , , , , , 
3,08:00 - 09:00,Calculo 3, , , ,Laboratorio de Fisica 2, 
 ,09:00 - 10:00,Calculo 3, , , ,Laboratorio de Fisica 2, 
 ,10:00 - 11:00,Calculo 3, , , , , 
 ,11:00 - 12:00,Calculo 3, , , , , 
 ,13:00 - 14:00,Fisica 2,Circuitos Eletricos 1, ,Sistemas Digitais,Calculo Vetorial, 
 ,14:00 - 15:00,Fisica 2,Circuitos Eletricos 1, ,Sistemas Digitais,Calculo Vetorial, 
 ,15:00 - 16:00,Fisica 2,Circuitos Eletricos 1, ,Sistemas Digitais,Calculo Vetorial, 
 ,16:00 - 17:00,Fisica 2,Circuitos Eletricos 1, ,Sistemas Digitais,Calculo Vetorial, 
 ,18:00 - 19:00, , , , , , 
 ,19:00 - 20:00, , , , , , 
 ,20:00 - 21:00, , , , , , 
 ,21:00 - 22:00, , , , , , 
4,08:00 - 09:00,Organizacao de Computadores,Circuitos Eletricos 2, , , , 
 ,09:00 - 10:00,Organizacao de Computadores,Circuitos Eletricos 2, , , , 
 ,10:00 - 11:00,Organizacao de Computadores,Circuitos Eletricos 2, , , , 
 ,11:00 - 12:00,Organizacao de Computadores,Circuitos Eletricos 2, , , , 
 ,13:00 - 14:00,Laboratorio de Fisica 3,Metodos Numericos,Fisica 3,Calculo 4, , 
