+----------+---------------+-------------------------------------+-----------------------------+--------------------------------------+---------------------------------------+--------------------------------------+--------+
| Semestre |    Horario    |               Segunda               |            Terca            |                Quarta                |                 Quinta                |                Sexta                 | Sabado |
+----------+---------------+-------------------------------------+-----------------------------+--------------------------------------+---------------------------------------+--------------------------------------+--------+
|    1     | 08:00 - 09:00 |           Produção Textual          |                             |        Lógica para Computação        | Introdução à Engenharia de Computação |                                      |        |
|          | 09:00 - 10:00 |           Produção Textual          |                             |        Lógica para Computação        | Introdução à Engenharia de Computação |                                      |        |
|          | 10:00 - 11:00 |           Produção Textual          |                             |        Lógica para Computação        |                                       |                                      |        |
|          | 11:00 - 12:00 |           Produção Textual          |                             |        Lógica para Computação        |                                       |                                      |        |
|          | 13:00 - 14:00 |                                     |        Epistemologia        |    Arquitetura de Computadores 1     |                                       | Álgebra Linear e Geometria Analítica |        |
|          | 14:00 - 15:00 |                                     |        Epistemologia        |    Arquitetura de Computadores 1     |                                       | Álgebra Linear e Geometria Analítica |        |
|          | 15:00 - 16:00 |                                     |                             |    Arquitetura de Computadores 1     |                                       | Álgebra Linear e Geometria Analítica |        |
|          | 16:00 - 17:00 |                                     |                             |    Arquitetura de Computadores 1     |                                       | Álgebra Linear e Geometria Analítica |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    2     | 08:00 - 09:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 09:00 - 10:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 10:00 - 11:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 11:00 - 12:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 13:00 - 14:00 |                                     |          Cálculo 2          |                                      |     Arquitetura de Computadores 2     |                                      |        |
|          | 14:00 - 15:00 |                                     |          Cálculo 2          |                                      |     Arquitetura de Computadores 2     |                                      |        |
|          | 15:00 - 16:00 |                                     |          Cálculo 2          |                                      |     Arquitetura de Computadores 2     |                                      |        |
|          | 16:00 - 17:00 |                                     |          Cálculo 2          |                                      |     Arquitetura de Computadores 2     |                                      |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    3     | 08:00 - 09:00 |              Cálculo 3              |                             |                                      |                                       |       Laboratório de Física 2        |        |
|          | 09:00 - 10:00 |              Cálculo 3              |                             |                                      |                                       |       Laboratório de Física 2        |        |
|          | 10:00 - 11:00 |              Cálculo 3              |                             |                                      |                                       |                                      |        |
|          | 11:00 - 12:00 |              Cálculo 3              |                             |                                      |                                       |                                      |        |
|          | 13:00 - 14:00 |               Física 2              |    Circuitos Elétricos 1    |                                      |           Sistemas Digitais           |           Cálculo Vetorial           |        |
|          | 14:00 - 15:00 |               Física 2              |    Circuitos Elétricos 1    |                                      |           Sistemas Digitais           |           Cálculo Vetorial           |        |
|          | 15:00 - 16:00 |               Física 2              |    Circuitos Elétricos 1    |                                      |           Sistemas Digitais           |           Cálculo Vetorial           |        |
|          | 16:00 - 17:00 |               Física 2              |    Circuitos Elétricos 1    |                                      |           Sistemas Digitais           |           Cálculo Vetorial           |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    4     | 08:00 - 09:00 |     Organização de Computadores     |    Circuitos Elétricos 2    |                                      |                                       |                                      |        |
|          | 09:00 - 10:00 |     Organização de Computadores     |    Circuitos Elétricos 2    |                                      |                                       |                                      |        |
|          | 10:00 - 11:00 |     Organização de Computadores     |    Circuitos Elétricos 2    |                                      |                                       |                                      |        |
|          | 11:00 - 12:00 |     Organização de Computadores     |    Circuitos Elétricos 2    |                                      |                                       |                                      |        |
|          | 13:00 - 14:00 |       Laboratório de Física 3       |      Métodos Numéricos      |               Física 3               |               Cálculo 4               |                                      |        |
|          | 14:00 - 15:00 |       Laboratório de Física 3       |      Métodos Numéricos      |               Física 3               |               Cálculo 4               |                                      |        |
|          | 15:00 - 16:00 |       Laboratório de Física 3       |      Métodos Numéricos      |               Física 3               |               Cálculo 4               |                                      |        |
|          | 16:00 - 17:00 |       Laboratório de Física 3       |      Métodos Numéricos      |               Física 3               |               Cálculo 4               |                                      |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
